,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Albany,42.6,-73.97,46.99,90,100,3.58,US,1970-01-01 00:00:01.603938562
1,Cape Town,-33.93,18.42,61.0,87,75,17.22,ZA,1970-01-01 00:00:01.603938537
2,Punta Arenas,-53.15,-70.92,46.4,65,40,34.45,CL,1970-01-01 00:00:01.603938562
3,Tura,25.52,90.22,80.22,73,0,1.1,IN,1970-01-01 00:00:01.603938626
4,Jamestown,42.1,-79.24,43.0,86,1,8.05,US,1970-01-01 00:00:01.603938572
5,At-Bashi,41.17,75.81,29.79,84,89,3.11,KG,1970-01-01 00:00:01.603938825
6,Saint George,37.1,-113.58,64.4,16,1,13.87,US,1970-01-01 00:00:01.603938313
7,Kavieng,-2.57,150.8,84.63,68,64,6.33,PG,1970-01-01 00:00:01.603938583
8,Klaksvík,62.23,-6.59,44.6,87,71,9.17,FO,1970-01-01 00:00:01.603938565
9,Ribeira Grande,38.52,-28.7,67.98,88,68,21.74,PT,1970-01-01 00:00:01.603938580
10,Greeley,40.42,-104.71,37.99,74,1,8.05,US,1970-01-01 00:00:01.603938831
11,Yellowknife,62.46,-114.35,21.2,79,90,4.7,CA,1970-01-01 00:00:01.603938604
12,Salta,-24.79,-65.41,66.2,72,75,3.36,AR,1970-01-01 00:00:01.603938835
13,Nikolskoye,59.7,30.79,46.99,87,75,6.71,RU,1970-01-01 00:00:01.603938580
14,Griffith,41.53,-87.42,41.0,75,1,1.32,US,1970-01-01 00:00:01.603938573
15,Härnösand,62.63,17.94,41.0,93,14,11.41,SE,1970-01-01 00:00:01.603938839
16,Hūn,29.13,15.95,55.09,80,0,3.51,LY,1970-01-01 00:00:01.603938841
17,Chokurdakh,70.63,147.92,-3.62,91,38,7.63,RU,1970-01-01 00:00:01.603938571
18,Castro,-24.79,-50.01,61.68,47,0,2.77,BR,1970-01-01 00:00:01.603938610
19,Fortuna,40.6,-124.16,55.4,71,1,1.32,US,1970-01-01 00:00:01.603938600
20,Ushuaia,-54.8,-68.3,41.0,93,90,23.04,AR,1970-01-01 00:00:01.603938328
21,San Quintín,30.48,-115.95,63.16,55,0,7.16,MX,1970-01-01 00:00:01.603938656
22,Grand Gaube,-20.01,57.66,72.0,70,39,1.99,MU,1970-01-01 00:00:01.603938847
23,Hilo,19.73,-155.09,82.4,69,40,6.93,US,1970-01-01 00:00:01.603938547
24,Nelson Bay,-32.72,152.15,71.01,72,40,14.99,AU,1970-01-01 00:00:01.603938448
25,Padang,-0.95,100.35,85.06,58,96,3.04,ID,1970-01-01 00:00:01.603938850
26,Kirakira,-10.45,161.92,84.07,75,98,10.71,SB,1970-01-01 00:00:01.603938654
27,St. Marys,30.73,-81.55,80.01,100,1,12.75,US,1970-01-01 00:00:01.603938853
28,Verkhniy Fiagdon,42.83,44.31,44.6,100,46,4.47,RU,1970-01-01 00:00:01.603938855
29,Port Alfred,-33.59,26.89,67.08,83,99,2.13,ZA,1970-01-01 00:00:01.603938563
30,George Town,5.41,100.34,82.4,83,20,5.82,MY,1970-01-01 00:00:01.603938568
31,Kapaa,22.08,-159.32,77.0,78,75,3.36,US,1970-01-01 00:00:01.603938563
32,Idanre,7.11,5.12,71.73,98,100,1.39,NG,1970-01-01 00:00:01.603938860
33,Saint-Philippe,-21.36,55.77,69.8,83,75,6.93,RE,1970-01-01 00:00:01.603938599
34,Butaritari,3.07,172.79,81.46,73,71,3.87,KI,1970-01-01 00:00:01.603938573
35,West Helena,34.55,-90.64,64.4,100,100,11.18,US,1970-01-01 00:00:01.603938864
36,Avera,33.19,-82.53,75.2,100,40,6.93,US,1970-01-01 00:00:01.603938662
37,Marsh Harbour,26.54,-77.06,81.05,79,12,14.5,BS,1970-01-01 00:00:01.603938867
38,Broken Hill,-31.95,141.43,75.2,31,22,11.41,AU,1970-01-01 00:00:01.603938868
39,Ostrowiec Świętokrzyski,50.93,21.39,50.0,1,70,6.11,PL,1970-01-01 00:00:01.603938869
40,Qaanaaq,77.48,-69.36,7.32,73,5,10.71,GL,1970-01-01 00:00:01.603938590
41,Bengkulu,-3.8,102.27,82.33,68,100,2.8,ID,1970-01-01 00:00:01.603938571
42,Bluff,-46.6,168.33,61.0,71,72,5.01,NZ,1970-01-01 00:00:01.603938565
43,Bredasdorp,-34.53,20.04,59.0,67,100,3.36,ZA,1970-01-01 00:00:01.603938573
44,Vaini,-21.2,-175.2,77.0,73,40,14.99,TO,1970-01-01 00:00:01.603938590
45,Saint-Pierre,-21.34,55.48,69.8,83,75,6.93,RE,1970-01-01 00:00:01.603938877
46,Rikitea,-23.12,-134.97,74.97,81,85,10.85,PF,1970-01-01 00:00:01.603938563
47,Karratha,-20.74,116.85,84.94,48,1,11.83,AU,1970-01-01 00:00:01.603938879
48,Carnarvon,-24.87,113.63,77.0,69,33,10.29,AU,1970-01-01 00:00:01.603938621
49,Mar del Plata,-38.0,-57.56,52.0,81,0,4.7,AR,1970-01-01 00:00:01.603938330
50,Camaná,-16.62,-72.71,62.4,78,76,7.05,PE,1970-01-01 00:00:01.603938573
51,Shūshtar,32.05,48.86,61.45,48,0,0.76,IR,1970-01-01 00:00:01.603938884
52,Okhotsk,59.38,143.3,29.28,93,100,7.54,RU,1970-01-01 00:00:01.603938887
53,Hamilton,39.18,-84.53,53.6,81,90,3.36,US,1970-01-01 00:00:01.603938340
54,Mocuba,-16.84,36.99,66.99,97,0,1.21,MZ,1970-01-01 00:00:01.603938889
55,Soyo,-6.13,12.37,76.44,88,100,5.14,AO,1970-01-01 00:00:01.603938890
56,Beira,-19.84,34.84,71.6,94,40,5.82,MZ,1970-01-01 00:00:01.603938891
57,Lavrentiya,65.58,-171.0,27.07,87,100,3.91,RU,1970-01-01 00:00:01.603938572
58,Portneuf,46.69,-71.89,34.0,100,69,1.12,CA,1970-01-01 00:00:01.603938894
59,Husavik,66.04,-17.34,41.0,90,90,9.17,IS,1970-01-01 00:00:01.603938896
60,Barrow,71.29,-156.79,19.4,73,90,6.93,US,1970-01-01 00:00:01.603938589
61,Dikson,73.51,80.55,3.02,89,0,20.89,RU,1970-01-01 00:00:01.603938571
62,Derzhavīnsk,51.1,66.32,31.75,91,47,12.03,KZ,1970-01-01 00:00:01.603938631
